CityName,Lat,Lon,StateName,StateCode,County,Density,Population
Fern Prairie,45.637,-122.3963,Washington,WA,Clark,172.1,0
Maple Valley,47.366,-122.0369,Washington,WA,King,1663,25758
Gifford,48.3063,-118.1464,Washington,WA,Stevens,2.2,0
Auburn,47.3041,-122.211,Washington,WA,King,1057,80776
Burton,47.389,-122.4607,Washington,WA,King,438.4,0
Kewa,48.201,-118.2786,Washington,WA,Ferry,0.7,0
Carrolls,46.0715,-122.8623,Washington,WA,Cowlitz,126.6,0
Bayne,47.2951,-121.9096,Washington,WA,King,10.2,0
East Cathlamet,46.1968,-123.358,Washington,WA,Wahkiakum,636.3,0
Purdy,47.3938,-122.6114,Washington,WA,Pierce,379.3,0
Kapowsin,46.9727,-122.2272,Washington,WA,Pierce,55.4,0
Ketron,47.1569,-122.6343,Washington,WA,Pierce,1.9,0
Connell,46.6626,-118.8404,Washington,WA,Franklin,275,5360
Lincoln,47.829,-118.415,Washington,WA,Lincoln,18.3,0
Clear Lake,48.4561,-122.2378,Washington,WA,Skagit,370.7,0
Kittitas,46.9837,-120.4192,Washington,WA,Kittitas,729,1491
Bucoda,46.7968,-122.868,Washington,WA,Thurston,401,583
Ardenvoir,47.7373,-120.369,Washington,WA,Chelan,83.7,0
Ellisport,47.4204,-122.4354,Washington,WA,King,329.3,0
Bainbridge Island,47.6439,-122.5434,Washington,WA,Kitsap,342,24522
Danville,48.9938,-118.5068,Washington,WA,Ferry,13.7,0
Hazelwood,47.5509,-122.1915,Washington,WA,King,781.7,0
Holly,47.5576,-122.9785,Washington,WA,Kitsap,23.6,0
Valley,48.173,-117.7245,Washington,WA,Stevens,111.2,0
Republic,48.6477,-118.7326,Washington,WA,Ferry,274,1062
Odessa,47.3326,-118.6895,Washington,WA,Lincoln,417,876
Edgewood,47.2309,-122.2832,Washington,WA,Pierce,515,11213
Burlington,48.4677,-122.3298,Washington,WA,Skagit,792,8783
Rice,48.4288,-118.1703,Washington,WA,Stevens,13.4,0
Marengo,47.0257,-118.1886,Washington,WA,Adams,0.9,0
Cusick,48.3328,-117.2962,Washington,WA,Pend Oreille,161,217
Virginia,47.7073,-122.6374,Washington,WA,Kitsap,327.7,0
Concrete,48.5371,-121.7512,Washington,WA,Skagit,241,729
Langley,48.0337,-122.4084,Washington,WA,Island,430,1124
Othello,46.8222,-119.1651,Washington,WA,Adams,790,12375
North City,47.7557,-122.3135,Washington,WA,King,2860.9,0
Hazel Dell,45.6797,-122.6553,Washington,WA,Clark,1388.9,0
Colfax,46.9031,-117.3394,Washington,WA,Whitman,299,2811
Metaline,48.854,-117.3899,Washington,WA,Pend Oreille,227,178
Randle,46.5351,-121.957,Washington,WA,Lewis,29.6,0
Millwood,47.6856,-117.2806,Washington,WA,Spokane,989,1784
Snoqualmie Pass,47.4014,-121.411,Washington,WA,Kittitas,78,0
Bangor,47.7209,-122.746,Washington,WA,Kitsap,240.9,0
Thorp,47.0655,-120.6709,Washington,WA,Kittitas,95.3,0
Tahlequah,47.3326,-122.5073,Washington,WA,King,179.8,0
Prescott,46.2988,-118.3125,Washington,WA,Walla Walla,292,304
Buckley,47.1615,-122.02,Washington,WA,Pierce,482,4819
Dalkena,48.2449,-117.2377,Washington,WA,Pend Oreille,45.3,0
Leland,47.8918,-122.8866,Washington,WA,Jefferson,7.1,0
Fruitvale,46.6179,-120.5531,Washington,WA,Yakima,513.9,0
Port Hadlock,48.0318,-122.7582,Washington,WA,Jefferson,187.6,0
University Place,47.2148,-122.546,Washington,WA,Pierce,1547,33401
Morton,46.5575,-122.2815,Washington,WA,Lewis,544,1159
Deep River,46.3521,-123.6984,Washington,WA,Wahkiakum,8.6,0
Elberton,46.9813,-117.2213,Washington,WA,Whitman,5.1,0
Kingston,47.8014,-122.4989,Washington,WA,Kitsap,402.1,0
Silverton,48.0784,-121.5671,Washington,WA,Snohomish,0.1,0
Vader,46.4045,-122.9569,Washington,WA,Lewis,266,643
