Name, Longitude, Latitude
Woolybutt Creek,125.68333,-16.81667
Woolunga Creek,130.38333,-11.26667
Woolundunga Creek,137.9,-32.55
Woolundra,117.8,-31.61667
Mount Wooltarlinna,129.86711,-27.0372
Wooltana Creek,139.55,-30.48333
Wooltana,139.41667,-30.41667
Woolshed Waterhole,136.25,-27.9
Woolshed Flat,137.96667,-32.45
Woolshed Creek,135.43333,-34.53333
Woolshed,137.48333,-32.43333
Woolpoo Hill,138.4,-27.91667
Lake Wooloomber,124,-22.08333
Wooloo Hill,139,-28.41667
Woolnong Spring,123.26667,-17.08333
Woolnomulla Bluff,136.23333,-30.15
Woolmit,139.95,-37.03333
Woollamullah Spring,114.16667,-27.7
Woolla Downs,133.9,-22.18333
Woolkabin Gully,117.61667,-33.38333
Wooliancubbing Spring,118.18333,-31.4
Woolgunjin Point,139.38333,-16.68333
Woolgorong Well,115.76667,-27.78333
Woolgorong,115.8272,-27.74556
Woolgerong Well,117.36667,-27.38333
Woolgerong,117.38333,-27.43333
Woolgerong,117.41667,-29.63333
Woolgatharra Pool,117.53333,-24.3
Woolgangie,120.53333,-31.16667
Woolgangi,139.5,-33.5
Woolgah,116.73333,-28.21667
Woolering Well,117.73333,-31.51667
Woolen River,135.21667,-12.28333
Wooleen,116.16,-27.08595
The Wooldridge,135.31667,-27.16667
Woolcutting Soak,119.08333,-32.18333
Woolbunna Pool,119.88333,-24.43333
Woolbunglin Well,117.88333,-31.8
Woolbertharra,117.2,-26.86667
Woolbernup Hill,119.7,-34.03333
Woolbenalling Hill,117.5,-31.6
Wool Bay,137.75,-35
Woolbannah Hill,130.33333,-13.6
Woolbale Hills,116.58333,-34.96667
Woolawandawoolana Well,116.05,-21.13333
Woola Tank,132.28333,-32.01667
Woolaring Well,117.33333,-31.95
Woolargarloo Spring,116.23333,-27.35
Woolanooka Hill,114.85,-28.88333
Woolamba,139.5,-33.26667
Woolabudda Out Camp,124.08333,-18.25
Wookia Rockhole,114.76667,-27.56667
Wooka Wooka,115.3,-30.73333
Wookata,132.28333,-31.93333
Woojalong Pool,116.45,-27.78333
Woojalong Hills,116.46667,-27.76667
Woogorong Well,115.91667,-26.61667
Woogorong Marsh,115.9,-26.63333
Wooggooddy Wurroong Well,114.33333,-27.31667
Woogenellup,117.83333,-34.51667
Wooganup,119.58333,-33.76667
Woogalong,116.5742,-27.80873
Woody Lake,121.91667,-33.81667
Woody Island,122.0129,-33.96095
Woody Island,136.08711,-13.81161
Wood Waterhole,136.23333,-27.91667
Mount Woodward,119.0131,-30.83262
Mount Woodward,131.09801,-26.0562
Woodville,138.55,-34.88333
Woods Well,139.53333,-36
Woodstock,139.05,-35.35
Woodstock,118.9561,-21.61894
Woods Promontory,131.66667,-14.81667
Woods Lake,139.5,-17.73333
Woods Inlet,130.25,-12.48333
Woodside,138.87901,-34.95433
Woods Hills,121.81667,-19.66667
Woods Flat,139.61667,-34.21667
Woods Dam,135.7,-30.7
Mount Woods,131.20804,-13.05927
Mount Woods,135.36224,-29.33147
Mount Woods,137.65,-23.15
Lake Woods,133.43333,-17.9
Woods,138.51667,-34.25
